Date,OfferName,ReferralDomain,CountryName,PageVisits,GetItNow,ContactMe,TestDrive,FreeTrial
2025-05-11,constellation,ms-pbi.pbi.microsoft.com,Egypt,6,2,0,0,0
2025-05-23,constellation,Referral domain not present,United States,1,0,0,0,0
2025-05-28,constellation,ms-pbi.pbi.microsoft.com,Palestinian Authority,1,1,0,0,0
2025-05-25,constellation,ms-pbi.pbi.microsoft.com,India,1,0,0,0,0
2025-06-04,constellation,ms-pbi.pbi.microsoft.com,Colombia,1,0,0,0,0
2025-05-15,constellation,appsource.microsoft.com,China,1,0,0,0,0
2025-05-14,constellation,Referral domain not present,Dominican Republic,1,0,0,0,0
2025-05-23,constellation,ms-pbi.pbi.microsoft.com,Japan,1,0,0,0,0
2025-05-03,constellation,Referral domain not present,India,1,0,0,0,0
2025-05-30,constellation,ms-pbi.pbi.microsoft.com,India,1,1,0,0,0
2025-05-29,constellation,Referral domain not present,Mexico,1,1,0,0,0
2025-05-25,constellation,app.powerbi.com,Indonesia,1,0,0,0,0
2025-05-27,constellation,ms-pbi.pbi.microsoft.com,Australia,4,0,0,0,0
2025-06-05,constellation,appsource.microsoft.com,Canada,1,0,0,0,0
2025-05-28,constellation,ms-pbi.pbi.microsoft.com,Singapore,2,0,0,0,0
2025-05-09,constellation,ms-pbi.pbi.microsoft.com,Korea,1,1,0,0,0
2025-05-04,constellation,www.google.com,United States,1,0,0,0,0
2025-05-15,constellation,ms-pbi.pbi.microsoft.com,Morocco,1,1,0,0,0
2025-06-04,constellation,ms-pbi.pbi.microsoft.com,Chile,1,0,0,0,0
2025-05-13,constellation,ms-pbi.pbi.microsoft.com,India,3,2,0,0,0
2025-05-11,constellation,ms-pbi.pbi.microsoft.com,Saudi Arabia,1,1,0,0,0
2025-05-14,constellation,ms-pbi.pbi.microsoft.com,United States,6,1,0,0,0
2025-05-31,constellation,appsource.microsoft.com,France,1,0,0,0,0
2025-06-06,constellation,appsource.microsoft.com,France,1,0,0,0,0
2025-06-05,constellation,ms-pbi.pbi.microsoft.com,Mexico,1,0,0,0,0
2025-05-12,constellation,ms-pbi.pbi.microsoft.com,Peru,7,3,0,0,0
2025-05-16,constellation,Referral domain not present,United States,1,0,0,0,0
2025-04-30,constellation,engage.cloud.microsoft,United States,2,0,0,0,0
2025-06-02,constellation,ms-pbi.pbi.microsoft.com,Curaçao,1,1,0,0,0
2025-06-06,constellation,ms-pbi.pbi.microsoft.com,Argentina,1,1,0,0,0
2025-06-01,constellation,Referral domain not present,Saudi Arabia,1,0,0,0,0
2025-06-04,constellation,ms-pbi.pbi.microsoft.com,Korea,2,1,0,0,0
2025-05-17,constellation,ms-pbi.pbi.microsoft.com,Pakistan,1,0,0,0,0
2025-05-29,constellation,app.powerbigov.us,United States,1,0,0,0,0
2025-05-24,constellation,ms-pbi.pbi.microsoft.com,United States,5,1,0,0,0
2025-05-29,constellation,ms-pbi.pbi.microsoft.com,Venezuela,1,1,0,0,0
2025-05-29,constellation,ms-pbi.pbi.microsoft.com,Peru,1,0,0,0,0
2025-06-04,constellation,appsource.microsoft.com,Singapore,1,0,0,0,0
2025-05-16,constellation,appsource.microsoft.com,India,1,0,0,0,0
2025-05-26,constellation,ms-pbi.pbi.microsoft.com,Japan,2,0,0,0,0
2025-05-21,constellation,ms-pbi.pbi.microsoft.com,United States,3,2,0,0,0
2025-06-03,constellation,ms-pbi.pbi.microsoft.com,United States,10,2,0,0,0
2025-06-03,constellation,ms-pbi.pbi.microsoft.com,Dominican Republic,1,0,0,0,0
2025-05-23,constellation,ms-pbi.pbi.microsoft.com,Uganda,1,0,0,0,0
2025-05-28,constellation,ms-pbi.pbi.microsoft.com,Hong Kong SAR,1,0,0,0,0
2025-05-12,constellation,ms-pbi.pbi.microsoft.com,Comoros,1,0,0,0,0
2025-06-01,constellation,ms-pbi.pbi.microsoft.com,Chile,1,0,0,0,0
2025-05-14,constellation,ms-pbi.pbi.microsoft.com,Vietnam,1,0,0,0,0
2025-05-15,constellation,ms-pbi.pbi.microsoft.com,Indonesia,1,1,0,0,0
2025-05-11,constellation,ms-pbi.pbi.microsoft.com,Colombia,1,1,0,0,0
2025-06-05,constellation,ms-pbi.pbi.microsoft.com,Dominican Republic,1,1,0,0,0
2025-06-04,constellation,appsource.microsoft.com,United States,1,0,0,0,0
2025-05-14,constellation,www.google.com,Kuwait,1,0,0,0,0
2025-06-04,constellation,ms-pbi.pbi.microsoft.com,Mexico,2,0,0,0,0
2025-05-20,constellation,ms-pbi.pbi.microsoft.com,Japan,1,0,0,0,0
2025-05-16,constellation,ms-pbi.pbi.microsoft.com,Mexico,1,0,0,0,0
2025-05-11,constellation,appsource.microsoft.com,Egypt,1,0,0,0,0
2025-05-14,constellation,ms-pbi.pbi.microsoft.com,Singapore,3,2,0,0,0
2025-05-13,constellation,ms-pbi.pbi.microsoft.com,Argentina,2,2,0,0,0
2025-06-02,constellation,ms-pbi.pbi.microsoft.com,Mexico,1,0,0,0,0
2025-05-19,constellation,ms-pbi.pbi.microsoft.com,United States,2,0,0,0,0
2025-05-05,constellation,appsource.microsoft.com,Finland,1,0,0,0,0
2025-05-26,constellation,app.powerbi.com,Japan,10,8,0,0,0
2025-05-26,constellation,ms-pbi.pbi.microsoft.com,Morocco,1,0,0,0,0
2025-06-03,constellation,ms-pbi.pbi.microsoft.com,Hong Kong SAR,1,0,0,0,0
2025-05-29,constellation,ms-pbi.pbi.microsoft.com,Australia,1,0,0,0,0
2025-05-23,constellation,ms-pbi.pbi.microsoft.com,Sri Lanka,1,0,0,0,0
2025-05-28,constellation,Referral domain not present,United States,1,0,0,0,0
2025-05-20,constellation,ms-pbi.pbi.microsoft.com,United Arab Emirates,1,0,0,0,0
2025-05-23,constellation,ms-pbi.pbi.microsoft.com,Thailand,1,1,0,0,0
2025-05-19,constellation,ms-pbi.pbi.microsoft.com,Mexico,2,1,0,0,0
2025-05-07,constellation,ms-pbi.pbi.microsoft.com,United States,5,2,0,0,0
2025-04-29,constellation,Referral domain not present,New Zealand,2,0,0,0,0
2025-05-08,constellation,ms-pbi.pbi.microsoft.com,Guatemala,1,1,0,0,0
2025-05-19,constellation,app.powerbi.com,United States,1,0,0,0,0
2025-05-29,constellation,Referral domain not present,India,1,0,0,0,0
2025-05-22,constellation,app.powerbi.com,United States,2,0,0,0,0
2025-05-15,constellation,ms-pbi.pbi.microsoft.com,Korea,2,0,0,0,0
2025-05-22,constellation,ms-pbi.pbi.microsoft.com,Japan,1,0,0,0,0
2025-05-13,constellation,ms-pbi.pbi.microsoft.com,South Africa,1,1,0,0,0
2025-05-30,constellation,ms-pbi.pbi.microsoft.com,Australia,7,3,0,0,0
2025-05-28,constellation,app.powerbi.com,Venezuela,1,1,0,0,0
2025-05-28,constellation,ms-pbi.pbi.microsoft.com,Japan,2,2,0,0,0
2025-05-27,constellation,ms-pbi.pbi.microsoft.com,Chile,2,0,0,0,0
2025-05-30,constellation,ms-pbi.pbi.microsoft.com,United Arab Emirates,1,0,0,0,0
2025-06-05,constellation,app.powerbi.com,Japan,1,1,0,0,0
2025-05-30,constellation,ms-pbi.pbi.microsoft.com,Honduras,2,2,0,0,0
2025-05-16,constellation,ms-pbi.pbi.microsoft.com,Hong Kong SAR,1,1,0,0,0
2025-06-05,constellation,ms-pbi.pbi.microsoft.com,South Africa,2,1,0,0,0
2025-05-11,constellation,ms-pbi.pbi.microsoft.com,United States,1,0,0,0,0
2025-06-06,constellation,appsource.microsoft.com,India,1,0,0,0,0
2025-06-05,constellation,ms-pbi.pbi.microsoft.com,Bolivia,1,1,0,0,0
2025-05-21,constellation,ms-pbi.pbi.microsoft.com,Korea,1,0,0,0,0
2025-05-13,constellation,Referral domain not present,India,2,0,0,0,0
2025-05-10,constellation,appsource.microsoft.com,South Africa,1,1,0,0,0
2025-05-31,constellation,ms-pbi.pbi.microsoft.com,Singapore,1,0,0,0,0
2025-06-03,constellation,ms-pbi.pbi.microsoft.com,Egypt,1,0,0,0,0
2025-05-23,constellation,ms-pbi.pbi.microsoft.com,United States,9,2,0,0,0
2025-05-22,constellation,ms-pbi.pbi.microsoft.com,Ukraine,2,0,0,0,0
2025-06-06,constellation,ms-pbi.pbi.microsoft.com,Vietnam,2,0,0,0,0
2025-06-06,constellation,ms-pbi.pbi.microsoft.com,Mexico,1,1,0,0,0
2025-05-09,constellation,ms-pbi.pbi.microsoft.com,Singapore,2,1,0,0,0
2025-05-15,constellation,ms-pbi.pbi.microsoft.com,United States,12,4,0,0,0
2025-05-12,constellation,ms-pbi.pbi.microsoft.com,Australia,1,0,0,0,0
2025-05-12,constellation,ms-pbi.pbi.microsoft.com,Guatemala,1,1,0,0,0
2025-05-15,constellation,ms-pbi.pbi.microsoft.com,Nigeria,1,1,0,0,0
2025-06-03,constellation,ms-pbi.pbi.microsoft.com,India,5,2,0,0,0
2025-05-21,constellation,ms-pbi.pbi.microsoft.com,Mexico,1,0,0,0,0
2025-05-13,constellation,appsource.microsoft.com,France,1,0,0,0,0
2025-06-04,constellation,ms-pbi.pbi.microsoft.com,Peru,1,0,0,0,0
2025-05-19,constellation,ms-pbi.pbi.microsoft.com,Japan,2,2,0,0,0
2025-05-31,constellation,ms-pbi.pbi.microsoft.com,Chile,1,1,0,0,0
2025-05-21,constellation,ms-pbi.pbi.microsoft.com,Japan,4,2,0,0,0
2025-05-07,constellation,appsource.microsoft.com,Japan,1,0,0,0,0
2025-05-12,constellation,ms-pbi.pbi.microsoft.com,Vietnam,1,0,0,0,0
2025-05-27,constellation,ms-pbi.pbi.microsoft.com,Singapore,1,1,0,0,0
2025-05-28,constellation,ms-pbi.pbi.microsoft.com,United States,9,1,0,0,0
2025-06-03,constellation,ms-pbi.pbi.microsoft.com,Japan,1,0,0,0,0
2025-05-21,constellation,app.powerbi.com,Colombia,1,0,0,0,0
2025-05-10,constellation,ms-pbi.pbi.microsoft.com,Australia,1,0,0,0,0
2025-05-30,constellation,Referral domain not present,United States,1,0,0,0,0
2025-05-22,constellation,ms-pbi.pbi.microsoft.com,Thailand,1,0,0,0,0
2025-05-12,constellation,ms-pbi.pbi.microsoft.com,United States,5,3,0,0,0
2025-05-17,constellation,ms-pbi.pbi.microsoft.com,Argentina,2,1,0,0,0
2025-05-09,constellation,ms-pbi.pbi.microsoft.com,Chile,2,0,0,0,0
2025-05-21,constellation,ms-pbi.pbi.microsoft.com,Saudi Arabia,1,0,0,0,0
2025-05-13,constellation,www.bing.com,Philippines,1,0,0,0,0
2025-06-01,constellation,ms-pbi.pbi.microsoft.com,Russia,1,1,0,0,0
2025-05-01,constellation,Referral domain not present,United States,1,0,0,0,0
2025-05-31,constellation,ms-pbi.pbi.microsoft.com,Iran,1,1,0,0,0
2025-05-19,constellation,ms-pbi.pbi.microsoft.com,India,1,1,0,0,0
2025-05-15,constellation,Referral domain not present,Thailand,1,0,0,0,0
2025-05-29,constellation,ms-pbi.pbi.microsoft.com,Ecuador,1,0,0,0,0
2025-05-01,constellation,appsource.microsoft.com,Japan,2,0,0,0,0
2025-05-20,constellation,ms-pbi.pbi.microsoft.com,Korea,1,0,0,0,0
2025-05-23,constellation,ms-pbi.pbi.microsoft.com,Philippines,1,0,0,0,0
2025-05-20,constellation,appsource.microsoft.com,Korea,1,0,0,0,0
2025-06-01,constellation,ms-pbi.pbi.microsoft.com,Pakistan,2,1,0,0,0
2025-05-16,constellation,ms-pbi.pbi.microsoft.com,Argentina,1,1,0,0,0
2025-05-15,constellation,ms-pbi.pbi.microsoft.com,South Africa,1,1,0,0,0
2025-06-03,constellation,ms-pbi.pbi.microsoft.com,Mexico,2,0,0,0,0
2025-05-29,constellation,ms-pbi.pbi.microsoft.com,Japan,3,0,0,0,0
2025-05-18,constellation,ms-pbi.pbi.microsoft.com,Dominican Republic,1,0,0,0,0
2025-05-30,constellation,ms-pbi.pbi.microsoft.com,Vietnam,1,1,0,0,0
2025-06-06,constellation,ms-pbi.pbi.microsoft.com,India,2,1,0,0,0
2025-06-04,constellation,ms-pbi.pbi.microsoft.com,South Africa,2,0,0,0,0
2025-05-30,constellation,ms-pbi.pbi.microsoft.com,Colombia,2,0,0,0,0
2025-05-29,constellation,ms-pbi.pbi.microsoft.com,India,5,1,0,0,0
2025-05-12,constellation,ms-pbi.pbi.microsoft.com,Egypt,1,0,0,0,0
2025-05-14,constellation,ms-pbi.pbi.microsoft.com,Kuwait,1,1,0,0,0
2025-05-08,constellation,ms-pbi.pbi.microsoft.com,Mexico,3,1,0,0,0
2025-05-28,constellation,ms-pbi.pbi.microsoft.com,Thailand,1,1,0,0,0
2025-05-15,constellation,app.powerbi.com,Australia,1,0,0,0,0
2025-05-01,constellation,Referral domain not present,United States,4,2,0,0,0
2025-05-28,constellation,ms-pbi.pbi.microsoft.com,India,2,0,0,0,0
2025-05-27,constellation,ms-pbi.pbi.microsoft.com,Nigeria,1,0,0,0,0
2025-05-20,constellation,ms-pbi.pbi.microsoft.com,Ukraine,1,1,0,0,0
2025-06-03,constellation,Referral domain not present,United States,1,0,0,0,0
2025-05-17,constellation,ms-pbi.pbi.microsoft.com,United Arab Emirates,1,0,0,0,0
2025-05-07,constellation,Referral domain not present,United States,1,0,0,0,0
2025-05-22,constellation,ms-pbi.pbi.microsoft.com,Malaysia,1,0,0,0,0
2025-05-20,constellation,ms-pbi.pbi.microsoft.com,Philippines,1,0,0,0,0
2025-06-06,constellation,ms-pbi.pbi.microsoft.com,Brunei,2,1,0,0,0
2025-06-02,constellation,ms-pbi.pbi.microsoft.com,Algeria,1,0,0,0,0
2025-06-02,constellation,Referral domain not present,India,1,0,0,0,0
2025-06-01,constellation,ms-pbi.pbi.microsoft.com,Ecuador,1,0,0,0,0
2025-05-01,constellation,appsource.microsoft.com,United States,1,0,0,0,0
2025-05-28,constellation,app.powerbi.com,Australia,2,1,0,0,0
2025-04-29,constellation,Referral domain not present,India,2,0,0,0,0
2025-05-16,constellation,ms-pbi.pbi.microsoft.com,Australia,4,2,0,0,0
2025-05-28,constellation,ms-pbi.pbi.microsoft.com,Mexico,1,0,0,0,0
2025-05-08,constellation,ms-pbi.pbi.microsoft.com,India,1,1,0,0,0
2025-05-15,constellation,ms-pbi.pbi.microsoft.com,Colombia,3,1,0,0,0
